id,setor,resposta
1,Engenharia,"A carga de trabalho está insustentável. Faço hora extra quase toda semana e ninguém parece notar."
2,Comercial,"Gosto muito do time, o pessoal é colaborativo e sempre disposto a ajudar. Melhor parte do meu dia."
3,Suporte,"O salário está abaixo do mercado. Tenho colegas em outras empresas ganhando 30% a mais pela mesma função."
4,Engenharia,"As ferramentas que usamos vivem caindo. Perco horas por semana esperando o sistema voltar."
5,Marketing,"Sinto falta de reconhecimento. Entrego bons resultados mas raramente recebo um feedback positivo."
6,RH,"O home office flexível mudou minha vida. Consigo equilibrar família e trabalho de um jeito que não era possível antes."
7,Comercial,"A liderança do meu setor é desorganizada. O gerente Marcos Antunes muda as prioridades toda semana e a gente nunca sabe o que é importante."
8,Suporte,"Não tenho clareza sobre meu plano de carreira. Estou há dois anos na mesma posição sem perspectiva."
9,Engenharia,"O onboarding foi muito bom, me senti acolhido desde o primeiro dia. Tive um padrinho que me ajudou bastante."
10,Financeiro,"As reuniões são intermináveis e improdutivas. Passo metade do dia em call sem necessidade."
11,Marketing,"Adoro a cultura da empresa, é leve e as pessoas se respeitam. Me sinto à vontade pra ser eu mesmo."
12,Suporte,"A pressão por metas é desumana. A Carolina Mendes, minha supervisora, cobra resultado mas não dá suporte nenhum."
13,Engenharia,"Faltam oportunidades de aprendizado. Gostaria de ter acesso a cursos e conferências da área."
14,Comercial,"O plano de saúde é excelente, cobre bem a família toda. Isso pesa muito na minha decisão de ficar."
15,Financeiro,"Comunicação interna é péssima. Fico sabendo de mudanças importantes pelo corredor, não pelos canais oficiais."
16,RH,"Me sinto valorizada aqui. Minha gestora confia no meu trabalho e me dá autonomia."
17,Suporte,"O sistema de tickets é lento e trava o tempo todo. Atrapalha o atendimento ao cliente."
18,Engenharia,"Trabalho remoto é ótimo, mas sinto falta de momentos presenciais com o time pra criar vínculo."
19,Marketing,"Salário não acompanha a inflação há anos. Na prática estou perdendo poder de compra todo ano."
20,Comercial,"Tenho ótima relação com meu líder. O João Pereira sempre escuta a gente e defende o time lá em cima."
21,Financeiro,"Excesso de processos burocráticos. Pra aprovar qualquer coisa preciso de cinco assinaturas."
22,Suporte,"Falta diversidade na liderança. Quase todos os cargos de chefia são ocupados pelo mesmo perfil."
23,Engenharia,"Os benefícios são bons, principalmente o vale-refeição e o auxílio home office."
24,RH,"Sinto que cresci muito profissionalmente nos últimos meses. Os desafios são na medida certa."
25,Marketing,"A empresa fala de saúde mental mas na prática ninguém respeita o horário de descanso."
26,Comercial,"As metas são irreais e mudam no meio do trimestre, o que desmotiva bastante."
27,Financeiro,"Gosto da estabilidade e da previsibilidade do meu trabalho. Sei o que esperar todo dia."
28,Suporte,"Faltam pessoas no time. Estamos sobrecarregados desde que a Fernanda Lima pediu demissão e não repuseram a vaga."
29,Engenharia,"A política de promoção não é transparente. Não sei o que preciso fazer pra subir de nível."
30,Marketing,"Amo a flexibilidade de horário. Consigo organizar meu dia do jeito que rende mais pra mim."
31,Suporte,"O ambiente ficou pesado depois das últimas demissões. As pessoas estão com medo e desconfiadas."
32,Comercial,"Recebo elogios dos clientes mas nunca isso chega como reconhecimento formal dentro da empresa."
33,Financeiro,"A liderança poderia ser mais clara sobre os objetivos da empresa para o próximo ano."
34,Engenharia,"Equipamento defasado. Meu notebook não aguenta rodar as ferramentas que preciso pro trabalho."
35,RH,"De modo geral estou satisfeita. Tem pontos a melhorar, mas é um bom lugar pra trabalhar."
36,Suporte,"Trabalho demais e ganho de menos. Simples assim. Estou procurando outra coisa no mercado."
